experiment,vowel,new,K,H,logz,p
compare,shore,FALSE,1,7.13672210936632,127.177604780216,2.37707416163671e-186
compare,shore,FALSE,2,18.6159001326711,554.592558937289,0.999997247754472
compare,shore,FALSE,3,24.1330168554428,541.789468264183,2.75224552385531e-06
compare,shore,FALSE,4,27.9368491162475,518.689946642815,2.55677434159622e-16
compare,shore,FALSE,5,34.3740502959298,506.305740149294,1.06979325762395e-21
compare,that,FALSE,1,8.79583478634898,21.1487463780703,1.17990762730753e-45
compare,that,FALSE,2,14.9613315416115,64.0719481740991,5.16603916324805e-27
compare,that,FALSE,3,20.6559564437198,109.856036455821,3.9530708112475e-07
compare,that,FALSE,4,24.8448892598253,124.59963303508,0.999993625768192
compare,that,FALSE,5,33.867569208887,112.572369591756,5.97892472779144e-06
compare,you,FALSE,1,9.67406864308937,562.415338011308,4.27924777389391e-40
compare,you,FALSE,2,14.5063525313858,603.970893083676,4.77216766537011e-22
compare,you,FALSE,3,20.7161734236998,653.064962268194,0.999997777511422
compare,you,FALSE,4,25.1838591221544,640.048081480719,2.22248857547256e-06
compare,you,FALSE,5,30.3920572970415,621.57345637711,2.10577419547493e-14
compare,little,FALSE,1,9.02225719041354,264.21299095253,3.27643320090322e-42
compare,little,FALSE,2,14.9735822945545,318.086141731614,8.16983760901874e-19
compare,little,FALSE,3,21.103634804291,359.356735122256,0.685179559736488
compare,little,FALSE,4,27.354762303995,358.579056084294,0.314820267605125
compare,little,FALSE,5,30.160946038206,344.162858708878,1.72658400604844e-07
compare,until,FALSE,1,8.25143256015333,-31.6506532056925,1.71415323472417e-79
compare,until,FALSE,2,16.9044451016644,141.15644011614,0.00019196263645035
compare,until,FALSE,3,18.8792395415152,149.714451188024,0.999801284935262
compare,until,FALSE,4,24.8484488313051,137.809034173899,6.75237847192298e-06
compare,until,FALSE,5,26.6873731215629,125.991699818881,4.98027902698042e-11
compare,shore,TRUE,1,7.40906910056671,126.872089224757,9.69217826534535e-274
compare,shore,TRUE,2,18.7882453194726,554.397666523955,4.55428796075169e-88
compare,shore,TRUE,3,22.8250219675885,712.119090444473,1.43207107696612e-19
compare,shore,TRUE,4,20.4052942854376,747.378694371072,0.000294453006451707
compare,shore,TRUE,5,23.6438806829284,755.508791012934,0.999705546993575
